Fecha,Hora,Precio
2021-08-11,21,"286,48"
2021-08-11,22,"288,95"
2021-08-11,23,"191,70"
2021-08-11,24,"188,53"
2021-08-12,01,"150,51"
2021-08-12,02,"144,74"
2021-08-12,03,"142,87"
2021-08-12,04,"138,07"
2021-08-12,05,"136,40"
2021-08-12,06,"138,35"
2021-08-12,07,"147,31"
2021-08-12,08,"151,26"
2021-08-12,09,"185,54"
2021-08-12,10,"183,56"
2021-08-12,11,"272,65"
2021-08-12,12,"269,90"
2021-08-12,13,"267,75"
2021-08-12,14,"269,12"
2021-08-12,15,"177,34"
2021-08-12,16,"173,27"
2021-08-12,17,"170,34"
2021-08-12,18,"175,41"
2021-08-12,19,"282,80"
2021-08-12,20,"289,75"
2021-08-12,21,"292,96"
2021-08-12,22,"293,93"
2021-08-12,23,"194,49"
2021-08-12,24,"187,23"
2021-08-13,01,"153,59"
2021-08-13,02,"149,46"
2021-08-13,03,"142,09"
2021-08-13,04,"138,71"
2021-08-13,05,"134,30"
2021-08-13,06,"137,74"
2021-08-13,07,"145,94"
2021-08-13,08,"150,23"
2021-08-13,09,"187,86"
2021-08-13,10,"184,37"
2021-08-13,11,"275,30"
2021-08-13,12,"274,78"
2021-08-13,13,"276,81"
2021-08-13,14,"276,87"
2021-08-13,15,"183,50"
2021-08-13,16,"182,62"
2021-08-13,17,"179,40"
2021-08-13,18,"182,52"
2021-08-13,19,"276,50"
2021-08-13,20,"280,47"
2021-08-13,21,"290,51"
2021-08-13,22,"293,55"
2021-08-13,23,"200,20"
2021-08-13,24,"195,50"
2021-08-14,01,"159,92"
2021-08-14,02,"159,21"
2021-08-14,03,"155,35"
2021-08-14,04,"153,03"
2021-08-14,05,"149,55"
2021-08-14,06,"149,67"
2021-08-14,07,"152,04"
2021-08-14,08,"154,26"
2021-08-14,09,"152,60"
2021-08-14,10,"149,82"
2021-08-14,11,"147,72"
2021-08-14,12,"143,44"
2021-08-14,13,"134,83"
2021-08-14,14,"131,64"
2021-08-14,15,"121,42"
2021-08-14,16,"115,26"
2021-08-14,17,"114,44"
2021-08-14,18,"115,82"
2021-08-14,19,"134,83"
2021-08-14,20,"150,26"
2021-08-14,21,"160,57"
2021-08-14,22,"166,44"
2021-08-14,23,"166,43"
2021-08-14,24,"163,21"
2021-08-15,01,"159,60"
2021-08-15,02,"157,80"
2021-08-15,03,"156,39"
2021-08-15,04,"156,09"
2021-08-15,05,"155,74"
2021-08-15,06,"155,74"
2021-08-15,07,"153,99"
2021-08-15,08,"150,19"
2021-08-15,09,"141,71"
2021-08-15,10,"142,58"
2021-08-15,11,"136,18"
2021-08-15,12,"134,10"
2021-08-15,13,"128,84"
2021-08-15,14,"134,30"
2021-08-15,15,"127,25"
2021-08-15,16,"115,78"
2021-08-15,17,"110,92"
2021-08-15,18,"110,69"
2021-08-15,19,"112,74"
2021-08-15,20,"125,01"
2021-08-15,21,"156,31"
2021-08-15,22,"158,33"
2021-08-15,23,"159,30"
2021-08-15,24,"158,07"
2021-08-16,01,"139,51"
2021-08-16,02,"128,43"
2021-08-16,03,"125,55"
2021-08-16,04,"126,20"
2021-08-16,05,"125,15"
2021-08-16,06,"123,67"
2021-08-16,07,"125,85"
2021-08-16,08,"124,86"
2021-08-16,09,"157,99"
2021-08-16,10,"152,61"
2021-08-16,11,"240,91"
2021-08-16,12,"239,82"
2021-08-16,13,"239,93"
2021-08-16,14,"239,62"
2021-08-16,15,"147,26"
2021-08-16,16,"146,26"
2021-08-16,17,"144,55"
2021-08-16,18,"144,46"
2021-08-16,19,"238,69"
2021-08-16,20,"242,17"
2021-08-16,21,"257,39"
2021-08-16,22,"276,73"
2021-08-16,23,"179,45"
2021-08-16,24,"166,01"
2021-08-17,01,"126,15"
2021-08-17,02,"122,91"
2021-08-17,03,"121,75"
2021-08-17,04,"121,88"
2021-08-17,05,"120,93"
2021-08-17,06,"119,61"
2021-08-17,07,"122,00"
2021-08-17,08,"119,53"
2021-08-17,09,"152,89"
2021-08-17,10,"149,99"
2021-08-17,11,"239,93"
2021-08-17,12,"239,84"
2021-08-17,13,"240,41"
2021-08-17,14,"244,47"
2021-08-17,15,"152,13"
2021-08-17,16,"148,74"
2021-08-17,17,"146,71"
2021-08-17,18,"146,73"
2021-08-17,19,"245,37"
2021-08-17,20,"258,51"
2021-08-17,21,"275,80"
2021-08-17,22,"288,85"
2021-08-17,23,"188,38"
2021-08-17,24,"170,26"
2021-08-18,01,"127,72"
2021-08-18,02,"123,65"
2021-08-18,03,"123,45"
2021-08-18,04,"124,21"
2021-08-18,05,"123,90"
2021-08-18,06,"122,99"
2021-08-18,07,"128,02"
2021-08-18,08,"139,09"
2021-08-18,09,"181,52"
2021-08-18,10,"182,19"
2021-08-18,11,"256,31"
2021-08-18,12,"257,80"
2021-08-18,13,"262,87"
2021-08-18,14,"271,45"
2021-08-18,15,"181,79"
2021-08-18,16,"182,16"
2021-08-18,17,"177,19"
2021-08-18,18,"175,42"
2021-08-18,19,"270,05"
2021-08-18,20,"283,49"
2021-08-18,21,"294,94"
2021-08-18,22,"295,53"
2021-08-18,23,"201,78"
2021-08-18,24,"193,79"
2021-08-19,01,"138,46"
2021-08-19,02,"126,06"
2021-08-19,03,"124,39"
2021-08-19,04,"121,57"
2021-08-19,05,"121,05"
2021-08-19,06,"120,70"
2021-08-19,07,"145,89"
2021-08-19,08,"151,85"
2021-08-19,09,"190,40"
2021-08-19,10,"183,83"
2021-08-19,11,"269,83"
2021-08-19,12,"272,67"
2021-08-19,13,"277,95"
2021-08-19,14,"279,65"
2021-08-19,15,"185,41"
2021-08-19,16,"182,39"
2021-08-19,17,"182,04"
2021-08-19,18,"181,87"
2021-08-19,19,"277,93"
2021-08-19,20,"288,89"
2021-08-19,21,"293,58"
2021-08-19,22,"295,00"
2021-08-19,23,"200,52"
2021-08-19,24,"198,69"
2021-08-20,01,"152,98"
2021-08-20,02,"152,19"
2021-08-20,03,"150,48"
2021-08-20,04,"148,68"
2021-08-20,05,"147,84"
2021-08-20,06,"147,87"
2021-08-20,07,"151,98"
2021-08-20,08,"153,08"
2021-08-20,09,"190,77"
2021-08-20,10,"186,34"
2021-08-20,11,"275,75"
2021-08-20,12,"272,14"
2021-08-20,13,"273,14"
2021-08-20,14,"270,02"
2021-08-20,15,"176,65"
2021-08-20,16,"167,41"
2021-08-20,17,"166,71"
2021-08-20,18,"167,88"
2021-08-20,19,"272,57"
2021-08-20,20,"284,38"
2021-08-20,21,"289,76"
2021-08-20,22,"288,90"
2021-08-20,23,"192,33"
2021-08-20,24,"189,95"
2021-08-21,01,"151,40"
2021-08-21,02,"149,51"
2021-08-21,03,"146,67"
2021-08-21,04,"142,06"
2021-08-21,05,"136,80"
2021-08-21,06,"142,12"
2021-08-21,07,"146,60"
2021-08-21,08,"147,80"
2021-08-21,09,"146,47"
2021-08-21,10,"143,85"
2021-08-21,11,"141,36"
2021-08-21,12,"135,55"
