,Hora,Consumo,Método de obtención
289,2,0.08,Real
290,3,0.079,Real
291,4,0.087,Real
292,5,0.081,Real
293,6,0.069,Real
294,7,0.116,Real
295,8,0.105,Real
296,9,0.082,Real
297,10,0.086,Real
298,11,0.186,Real
299,12,0.224,Real
300,13,0.429,Real
301,14,0.206,Real
302,15,0.444,Real
303,16,0.079,Real
304,17,0.081,Real
305,18,0.077,Real
306,19,0.071,Real
307,20,0.076,Real
308,21,0.08,Real
309,22,0.08,Real
310,23,0.076,Real
311,24,0.07,Real
312,1,0.084,Real
313,2,0.098,Real
314,3,0.077,Real
315,4,0.073,Real
316,5,0.081,Real
317,6,0.081,Real
318,7,0.067,Real
319,8,0.081,Real
320,9,0.087,Real
321,10,0.067,Real
322,11,0.079,Real
323,12,0.117,Real
324,13,0.278,Real
325,14,0.159,Real
326,15,0.095,Real
327,16,0.09,Real
328,17,0.081,Real
329,18,0.08,Real
330,19,0.068,Real
331,20,0.079,Real
332,21,0.13,Real
333,22,0.09,Real
334,23,0.217,Real
335,24,0.458,Real
336,1,0.216,Real
337,2,0.205,Real
338,3,0.168,Real
339,4,0.083,Real
340,5,0.085,Real
341,6,0.076,Real
342,7,0.146,Real
343,8,0.096,Real
344,9,0.073,Real
345,10,0.093,Real
346,11,0.19,Real
347,12,0.159,Real
348,13,0.092,Real
349,14,0.09,Real
350,15,0.086,Real
351,16,0.085,Real
352,17,0.084,Real
353,18,0.08,Real
354,19,0.087,Real
355,20,0.084,Real
356,21,0.074,Real
357,22,0.084,Real
358,23,0.16,Real
359,24,0.406,Real
360,1,0.188,Real
361,2,0.088,Real
362,3,0.087,Real
363,4,0.075,Real
364,5,0.082,Real
365,6,0.082,Real
366,7,0.069,Real
367,8,0.083,Real
368,9,0.068,Real
369,10,0.09,Real
370,11,0.074,Real
371,12,0.294,Real
372,13,0.193,Real
373,14,0.257,Real
374,15,0.204,Real
375,16,0.079,Real
376,17,0.081,Real
377,18,0.075,Real
378,19,0.08,Real
379,20,0.07,Real
380,21,0.08,Real
381,22,0.08,Real
382,23,0.152,Real
383,24,0.508,Real
384,1,0.195,Real
385,2,0.165,Real
386,3,0.093,Real
387,4,0.084,Real
388,5,0.078,Real
389,6,0.086,Real
390,7,0.079,Real
391,8,0.155,Real
392,9,0.114,Real
393,10,0.071,Real
394,11,0.081,Real
395,12,0.076,Real
396,13,0.075,Real
397,14,0.08,Real
398,15,0.072,Real
399,16,0.081,Real
400,17,0.07,Real
401,18,0.083,Real
402,19,0.068,Real
403,20,0.084,Real
404,21,0.068,Real
405,22,0.084,Real
406,23,0.086,Real
407,24,0.242,Real
408,1,0.216,Real
409,2,0.124,Real
410,3,0.073,Real
411,4,0.081,Real
412,5,0.075,Real
413,6,0.073,Real
414,7,0.083,Real
415,8,0.14,Real
416,9,0.083,Real
417,10,0.08,Real
418,11,0.124,Real
419,12,0.303,Real
420,13,0.215,Real
421,14,0.22,Real
422,15,0.731,Real
423,16,0.205,Real
424,17,0.221,Real
425,18,0.207,Real
426,19,0.227,Real
427,20,0.115,Real
428,21,0.231,Real
429,22,0.204,Real
430,23,0.231,Real
431,24,0.216,Real
432,1,0.1,Real
433,2,0.074,Real
434,3,0.079,Real
435,4,0.073,Real
436,5,0.079,Real
437,6,0.072,Real
438,7,0.08,Real
439,8,0.072,Real
440,9,0.144,Real
441,10,0.085,Real
442,11,0.148,Real
443,12,0.701,Real
444,13,0.593,Real
445,14,0.274,Real
446,15,0.086,Real
447,16,0.072,Real
448,17,0.08,Real
449,18,0.078,Real
450,19,0.075,Real
451,20,0.083,Real
452,21,0.068,Real
453,22,0.087,Real
454,23,0.231,Real
455,24,0.444,Real
456,1,0.305,Real
457,2,0.152,Real
458,3,0.079,Real
459,4,0.079,Real
460,5,0.076,Real
461,6,0.077,Real
462,7,0.076,Real
463,8,0.077,Real
464,9,0.075,Real
465,10,0.084,Real
466,11,0.157,Real
467,12,0.145,Real
468,13,0.091,Real
469,14,0.076,Real
470,15,0.077,Real
471,16,0.078,Real
472,17,0.074,Real
473,18,0.08,Real
474,19,0.072,Real
475,20,0.082,Real
476,21,0.069,Real
477,22,0.141,Real
478,23,0.209,Real
479,24,0.222,Real
480,1,0.112,Real
481,2,0.08,Real
482,3,0.072,Real
483,4,0.086,Real
484,5,0.067,Real
485,6,0.086,Real
486,7,0.072,Real
487,8,0.08,Real
488,9,0.078,Real
489,10,0.178,Real
490,11,0.358,Real
491,12,0.187,Real
492,13,0.078,Real
493,14,0.081,Real
494,15,0.081,Real
495,16,0.08,Real
496,17,0.075,Real
497,18,0.079,Real
498,19,0.077,Real
499,20,0.074,Real
500,21,0.077,Real
501,22,0.082,Real
502,23,0.158,Real
503,24,0.249,Real
504,1,0.211,Real
505,2,0.106,Real
506,3,0.091,Real
507,4,0.075,Real
508,5,0.085,Real
509,6,0.082,Real
510,7,0.075,Real
511,8,0.088,Real
512,9,0.205,Real
513,10,0.112,Real
514,11,0.081,Real
515,12,0.08,Real
516,13,0.079,Real
517,14,0.08,Real
518,15,0.079,Real
519,16,0.079,Real
520,17,0.079,Real
521,18,0.079,Real
522,19,0.079,Real
523,20,0.08,Real
524,21,0.079,Real
525,22,0.08,Real
526,23,0.086,Real
527,24,0.231,Real
528,1,0.214,Real
529,2,0.101,Real
530,3,0.093,Real
531,4,0.091,Real
532,5,0.084,Real
533,6,0.076,Real
534,7,0.087,Real
535,8,0.083,Real
536,9,0.079,Real
537,10,0.096,Real
538,11,0.148,Real
539,12,0.099,Real
540,13,0.067,Real
541,14,0.113,Real
542,15,0.078,Real
543,16,0.09,Real
544,17,0.069,Real
545,18,0.09,Real
546,19,0.07,Real
547,20,0.088,Real
548,21,0.144,Real
549,22,0.088,Real
550,23,0.355,Real
551,24,0.293,Real
552,1,0.206,Real
553,2,0.085,Real
554,3,0.088,Real
555,4,0.074,Real
556,5,0.082,Real
557,6,0.084,Real
558,7,0.071,Real
559,8,0.086,Real
560,9,0.189,Real
561,10,0.187,Real
562,11,0.085,Real
563,12,0.072,Real
564,13,0.086,Real
565,14,0.081,Real
566,15,0.073,Real
567,16,0.086,Real
568,17,0.077,Real
569,18,0.077,Real
570,19,0.087,Real
571,20,0.068,Real
572,21,0.086,Real
573,22,0.075,Real
574,23,0.083,Real
575,24,0.265,Real
576,1,0.246,Real
577,2,0.097,Real
578,3,0.101,Real
579,4,0.148,Real
580,5,0.09,Real
581,6,0.081,Real
582,7,0.087,Real
583,8,0.087,Real
584,9,0.077,Real
585,10,0.079,Real
586,11,0.167,Real
587,12,0.108,Real
588,13,0.093,Real
589,14,0.076,Real
590,15,0.077,Real
591,16,0.084,Real
592,17,0.082,Real
593,18,0.075,Real
594,19,0.075,Real
595,20,0.083,Real
596,21,0.082,Real
597,22,0.074,Real
598,23,0.074,Real
599,24,0.225,Real
600,1,0.204,Real
601,2,0.142,Real
602,3,0.077,Real
603,4,0.09,Real
604,5,0.085,Real
605,6,0.081,Real
606,7,0.079,Real
607,8,0.074,Real
608,9,0.074,Real
609,10,0.091,Real
610,11,0.08,Real
611,12,0.189,Real
612,13,0.213,Real
613,14,0.26,Real
614,15,0.235,Real
615,16,0.227,Real
616,17,0.105,Real
617,18,0.118,Real
618,19,0.159,Real
619,20,0.088,Real
620,21,0.085,Real
621,22,0.08,Real
622,23,0.077,Real
623,24,0.084,Real
624,1,0.099,Real
625,2,0.495,Real
626,3,0.139,Real
627,4,0.551,Real
628,5,0.092,Real
629,6,0.079,Real
630,7,0.078,Real
631,8,0.088,Real
632,9,0.074,Real
633,10,0.083,Real
634,11,0.313,Real
635,12,0.226,Real
636,13,0.101,Real
637,14,0.074,Real
638,15,0.084,Real
639,16,0.082,Real
640,17,0.081,Real
641,18,0.076,Real
642,19,0.074,Real
643,20,0.078,Real
644,21,0.081,Real
645,22,0.074,Real
646,23,0.105,Real
647,24,0.219,Real
648,1,0.123,Real
649,2,0.083,Real
650,3,0.073,Real
651,4,0.077,Real
652,5,0.082,Real
653,6,0.08,Real
654,7,0.08,Real
655,8,0.074,Real
656,9,0.239,Real
657,10,0.33,Real
658,11,0.248,Real
659,12,0.185,Real
660,13,0.204,Real
661,14,0.208,Real
662,15,0.182,Real
663,16,0.194,Real
664,17,0.234,Real
665,18,0.352,Real
666,19,0.196,Real
667,20,0.083,Real
668,21,0.13,Real
669,22,0.275,Real
670,23,0.216,Real
671,24,0.225,Real
672,1,0.117,Real
673,2,0.083,Real
674,3,0.077,Real
675,4,0.072,Real
676,5,0.083,Real
677,6,0.082,Real
678,7,0.076,Real
679,8,0.071,Real
680,9,0.156,Real
681,10,0.17,Real
682,11,0.251,Real
683,12,0.168,Real
684,13,0.201,Real
685,14,0.173,Real
686,15,0.162,Real
